"filename", "language", "Makefile", "Markdown", "C", "C++", "NASM Assembly", "Properties", "comment", "blank", "total"
"/home/andrew/osdev/src/ps2/keyboard.h", "C", 0, 0, 131, 0, 0, 0, 5, 15, 151
"/home/andrew/osdev/src/ps2/mouse.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew/osdev/src/ps2/mouse.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew/osdev/src/ps2/ps2.c", "C", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/ps2/ps2.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew/osdev/src/sound/pcspkr.c", "C", 0, 0, 32, 0, 0, 0, 0, 10, 42
"/home/andrew/osdev/src/sound/pcspkr.h", "C++", 0, 0, 0, 11, 0, 0, 0, 3, 14
"/home/andrew/osdev/src/time/time.c", "C", 0, 0, 168, 0, 0, 0, 8, 30, 206
"/home/andrew/osdev/src/time/time.h", "C++", 0, 0, 0, 24, 0, 0, 0, 11, 35
"/home/andrew/osdev/src/userland/shell.c", "C", 0, 0, 280, 0, 0, 0, 14, 35, 329
"/home/andrew/osdev/src/vfs/vfs.c", "C", 0, 0, 334, 0, 0, 0, 45, 58, 437
"/home/andrew/osdev/src/vfs/vfs.h", "C", 0, 0, 73, 0, 0, 0, 7, 15, 95
"Total", "-", 82, 71, 6062, 363, 540, 3, 1023, 1469, 9613
