Date : 2025-02-20 20:58:23
Directory : /home/andrew/osdev
Total : 65 files,  4103 codes, 570 comments, 849 blanks, all 5522 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| /home/andrew/osdev/src/lib/fpu.h                     | C++           |         16 |          0 |          4 |         20 |
| /home/andrew/osdev/src/lib/stdalign.h                | C++           |          5 |          0 |          3 |          8 |
| /home/andrew/osdev/src/lib/stdarg.h                  | C++           |          8 |          0 |          4 |         12 |
| /home/andrew/osdev/src/lib/stdbool.h                 | C             |          7 |          0 |          4 |         11 |
| /home/andrew/osdev/src/lib/stddef.h                  | C++           |         15 |          0 |          6 |         21 |
| /home/andrew/osdev/src/lib/stdint.h                  | C++           |         73 |         10 |         24 |        107 |
| /home/andrew/osdev/src/lib/string.h                  | C++           |        205 |         22 |         24 |        251 |
| /home/andrew/osdev/src/lib/util.h                    | C++           |         41 |          0 |         13 |         54 |
| /home/andrew/osdev/src/memory/alloc.c                | C             |        118 |         27 |         15 |        160 |
| /home/andrew/osdev/src/memory/alloc.h                | C             |         10 |          2 |          7 |         19 |
| /home/andrew/osdev/src/memory/paging.c               | C             |        185 |         39 |         59 |        283 |
| /home/andrew/osdev/src/memory/paging.h               | C++           |         48 |          3 |         18 |         69 |
| /home/andrew/osdev/src/multitasking/multitasking.c   | C             |        108 |         18 |         27 |        153 |
| /home/andrew/osdev/src/multitasking/multitasking.h   | C++           |         78 |          8 |         21 |        107 |
| /home/andrew/osdev/src/ps2/keyboard.c                | C             |        278 |         45 |         54 |        377 |
| /home/andrew/osdev/src/ps2/keyboard.h                | C             |        136 |          5 |         16 |        157 |
| /home/andrew/osdev/src/ps2/mouse.c                   | C             |          0 |          0 |          1 |          1 |
| /home/andrew/osdev/src/ps2/mouse.h                   | C++           |          0 |          0 |          1 |          1 |
| /home/andrew/osdev/src/ps2/ps2.c                     | C             |          1 |          0 |          0 |          1 |
| /home/andrew/osdev/src/ps2/ps2.h                     | C++           |          0 |          0 |          1 |          1 |
| /home/andrew/osdev/src/sound/pcspkr.c                | C             |         32 |          0 |         10 |         42 |
| /home/andrew/osdev/src/sound/pcspkr.h                | C++           |         11 |          0 |          3 |         14 |
| /home/andrew/osdev/src/time/time.c                   | C             |        168 |          9 |         30 |        207 |
| /home/andrew/osdev/src/time/time.h                   | C++           |         31 |          0 |         12 |         43 |
| /home/andrew/osdev/src/userland/shell.c              | C             |        229 |         12 |         12 |        253 |
| Total                                                |               |      4,103 |        570 |        849 |      5,522 |
+------------------------------------------------------+---------------+------------+------------+------------+------------+
