"filename", "language", "Makefile", "C", "C++", "NASM Assembly", "Properties", "Markdown", "comment", "blank", "total"
"/home/andrew/osdev/src/multitasking/multitasking.h", "C", 0, 88, 0, 0, 0, 0, 6, 20, 114
"/home/andrew/osdev/src/ps2/keyboard.c", "C", 0, 294, 0, 0, 0, 0, 47, 61, 402
"/home/andrew/osdev/src/ps2/keyboard.h", "C", 0, 131, 0, 0, 0, 0, 5, 15, 151
"/home/andrew/osdev/src/ps2/mouse.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew/osdev/src/ps2/mouse.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew/osdev/src/ps2/ps2.c", "C", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/ps2/ps2.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew/osdev/src/sound/pcspkr.c", "C", 0, 32, 0, 0, 0, 0, 0, 10, 42
"/home/andrew/osdev/src/sound/pcspkr.h", "C++", 0, 0, 11, 0, 0, 0, 0, 3, 14
"/home/andrew/osdev/src/time/time.c", "C", 0, 168, 0, 0, 0, 0, 8, 29, 205
"/home/andrew/osdev/src/time/time.h", "C++", 0, 0, 25, 0, 0, 0, 0, 9, 34
"/home/andrew/osdev/src/userland/program.asm", "NASM Assembly", 0, 0, 0, 58, 0, 0, 11, 15, 84
"/home/andrew/osdev/src/userland/shell.c", "C", 0, 244, 0, 0, 0, 0, 15, 36, 295
"/home/andrew/osdev/src/vfs/vfs.c", "C", 0, 371, 0, 0, 0, 0, 47, 65, 483
"/home/andrew/osdev/src/vfs/vfs.h", "C", 0, 78, 0, 0, 0, 0, 7, 17, 102
"Total", "-", 85, 7598, 284, 598, 3, 71, 1207, 1673, 11519
